"U:0","U:1","U:2","grad(U):0","grad(U):1","grad(U):2","grad(U):3","grad(U):4","grad(U):5","grad(U):6","grad(U):7","grad(U):8","nu","p","shearStress:0","shearStress:1","shearStress:2","shearStress:3","shearStress:4","shearStress:5","strainRate","wallShearStress:0","wallShearStress:1","wallShearStress:2","arc_length","Points:0","Points:1","Points:2"
-3.9945e-12,-0.032043,0.068704,-102.08,1.28e-08,6.6164e-10,2.463e-08,-30.863,-374.89,-1.3811e-08,-33.629,132.95,0.001548,76.604,0.31603,0.095472,-0.4115,-5.7924e-11,0.6323,2.0347e-11,474.64,0,0,0,0.0010502,0,0.00031378,0.0073216
-3.9591e-12,-0.032167,0.068046,-101.74,1.2589e-08,6.7543e-10,2.4827e-08,-28.552,-380.24,-1.3631e-08,-33.388,130.29,0.0015437,76.608,0.31408,0.088129,-0.40221,-5.7737e-11,0.63834,1.9993e-11,477.1,0,0,0,0.0010531,0,0.00031604,0.0073232
-3.8699e-12,-0.032457,0.066357,-100.8,1.2077e-08,7.0767e-10,2.5255e-08,-22.151,-392.75,-1.3166e-08,-32.896,122.95,0.0015336,76.62,0.30916,0.067849,-0.37701,-5.7235e-11,0.6527,1.9098e-11,482.75,0,0,0,0.0010602,0,0.00032186,0.0073275
-3.8304e-12,-0.032575,0.06559,-100.38,1.1854e-08,7.2498e-10,2.5503e-08,-19.26,-399.23,-1.2951e-08,-32.459,119.64,0.0015282,76.625,0.30679,0.058836,-0.36562,-5.7064e-11,0.6595,1.8677e-11,485.96,0,0,0,0.0010635,0,0.00032436,0.0073295
-3.7552e-12,-0.032781,0.064099,-99.526,1.1442e-08,7.557e-10,2.592e-08,-13.219,-410.67,-1.2532e-08,-31.66,112.75,0.0015185,76.635,0.30223,0.04003,-0.34226,-5.6714e-11,0.67158,1.7873e-11,491.55,0,0,0,0.0010697,0,0.00032923,0.0073334
-3.7065e-12,-0.032901,0.063113,-98.97,1.118e-08,7.7969e-10,2.6262e-08,-9.2186,-419.28,-1.2247e-08,-30.893,108.19,0.001511,76.642,0.29906,0.027824,-0.32689,-5.6546e-11,0.67995,1.7319e-11,496.12,0,0,0,0.0010738,0,0.00033226,0.0073361
-3.6487e-12,-0.033026,0.061917,-98.259,1.0878e-08,8.0638e-10,2.6624e-08,-4.0371,-428.71,-1.1901e-08,-29.946,102.3,0.0015026,76.651,0.29525,0.011995,-0.30725,-5.6328e-11,0.68906,1.6661e-11,501.07,0,0,0,0.0010787,0,0.00033596,0.0073394
-3.5867e-12,-0.033141,0.060617,-97.501,1.0561e-08,8.3954e-10,2.71e-08,1.6582,-440.36,-1.151e-08,-28.646,95.842,0.001492,76.66,0.29092,-0.0049859,-0.28594,-5.6161e-11,0.69951,1.5913e-11,507.65,0,0,0,0.0010839,0,0.00033971,0.007343
-3.5488e-12,-0.033199,0.059802,-96.996,1.0372e-08,8.5844e-10,2.7361e-08,5.4406,-446.93,-1.1266e-08,-27.779,91.555,0.0014859,76.667,0.28823,-0.016311,-0.27192,-5.6046e-11,0.70526,1.5455e-11,511.34,0,0,0,0.0010872,0,0.00034209,0.0073453
-3.4703e-12,-0.033292,0.058104,-95.969,9.9884e-09,9.0341e-10,2.8007e-08,13.479,-462.43,-1.073e-08,-25.683,82.489,0.0014714,76.68,0.2824,-0.039708,-0.24269,-5.5883e-11,0.718,1.4453e-11,520.6,0,0,0,0.0010939,0,0.00034669,0.0073501
-3.454e-12,-0.033305,0.057741,-95.735,9.9106e-09,9.1208e-10,2.8129e-08,15.28,-465.38,-1.0617e-08,-25.192,80.455,0.0014685,76.683,0.28116,-0.044989,-0.23617,-5.5843e-11,0.72031,1.4245e-11,522.38,0,0,0,0.0010953,0,0.00034769,0.0073512
-3.3897e-12,-0.033336,0.056311,-94.835,9.6097e-09,9.5195e-10,2.869e-08,22.599,-478.55,-1.0141e-08,-23.061,72.235,0.0014558,76.695,0.27612,-0.065779,-0.21034,-5.5743e-11,0.73011,1.3377e-11,530.71,0,0,0,0.0011008,0,0.00035132,0.0073553
-3.3649e-12,-0.033345,0.055744,-94.459,9.4918e-09,9.6847e-10,2.8933e-08,25.433,-484.03,-9.9562e-09,-22.049,69.025,0.0014507,76.699,0.27404,-0.073876,-0.20017,-5.5725e-11,0.73406,1.3033e-11,534.11,0,0,0,0.0011031,0,0.00035279,0.007357
-3.358e-12,-0.033346,0.055588,-94.359,9.4598e-09,9.7373e-10,2.9009e-08,26.229,-485.74,-9.9022e-09,-21.751,68.129,0.0014491,76.701,0.27346,-0.076078,-0.19738,-5.5726e-11,0.73524,1.2934e-11,535.22,0,0,0,0.0011036,0,0.00035316,0.0073574
-3.2833e-12,-0.033313,0.053838,-93.148,9.1191e-09,1.0275e-09,2.9783e-08,35.669,-502.84,-9.3e-09,-18.073,57.479,0.0014327,76.716,0.26688,-0.1024,-0.16448,-5.571e-11,0.74616,1.1843e-11,546.4,0,0,0,0.0011104,0,0.00035742,0.0073627
-3.2514e-12,-0.033291,0.0531,-92.653,8.9761e-09,1.0535e-09,3.0153e-08,39.782,-510.96,-9.0275e-09,-16.46,52.871,0.001425,76.722,0.26405,-0.11346,-0.15058,-5.5723e-11,0.75126,1.1357e-11,551.93,0,0,0,0.0011132,0,0.00035907,0.0073649
-3.2039e-12,-0.033231,0.051965,-91.832,8.7676e-09,1.0899e-09,3.0662e-08,46.373,-522.03,-8.6151e-09,-13.687,45.459,0.0014141,76.733,0.25968,-0.1314,-0.12828,-5.5728e-11,0.75735,1.063e-11,559.58,0,0,0,0.0011174,0,0.00036165,0.0073683
-3.1457e-12,-0.033146,0.050602,-90.879,8.5171e-09,1.1389e-09,3.1349e-08,54.645,-536.93,-8.078e-09,-10.298,36.234,0.0013996,76.746,0.25437,-0.15305,-0.10132,-5.5762e-11,0.76559,9.7068e-12,570.26,0,0,0,0.0011223,0,0.00036447,0.0073723
-3.1256e-12,-0.033103,0.050115,-90.509,8.432e-09,1.1549e-09,3.1569e-08,57.687,-541.61,-7.8896e-09,-8.9236,32.822,0.0013949,76.751,0.25246,-0.16114,-0.091323,-5.5768e-11,0.76771,9.385e-12,573.68,0,0,0,0.0011241,0,0.0003655,0.0073738
-3.0691e-12,-0.032975,0.048779,-89.531,8.1972e-09,1.2035e-09,3.2236e-08,66.489,-555.93,-7.3292e-09,-5.1421,23.042,0.0013805,76.765,0.2472,-0.18359,-0.063602,-5.5803e-11,0.7744,8.4556e-12,584.52,0,0,0,0.0011288,0,0.00036807,0.0073776
-3.05e-12,-0.032922,0.048307,-89.156,8.1162e-09,1.2222e-09,3.2507e-08,69.476,-561.49,-7.1335e-09,-3.5181,19.68,0.0013753,76.77,0.24521,-0.19126,-0.05395,-5.5847e-11,0.77688,8.1237e-12,588.56,0,0,0,0.0011305,0,0.00036901,0.0073791
-3.0421e-12,-0.032901,0.048118,-89.013,8.0833e-09,1.2306e-09,3.2626e-08,70.729,-563.97,-7.0488e-09,-2.8815,18.285,0.001373,76.772,0.24442,-0.19435,-0.050074,-5.5867e-11,0.77805,7.9839e-12,590.41,0,0,0,0.0011312,0,0.00036935,0.0073796
-2.9805e-12,-0.032678,0.046587,-87.744,7.831e-09,1.2924e-09,3.3496e-08,81.196,-581.63,-6.3712e-09,3.0051,6.5486,0.0013561,76.789,0.23793,-0.22054,-0.017384,-5.6004e-11,0.78434,6.8753e-12,603.95,0,0,0,0.0011366,0,0.00037218,0.0073843
-2.9429e-12,-0.032546,0.045689,-87.034,7.6791e-09,1.3331e-09,3.4053e-08,87.738,-593.19,-5.939e-09,6.369,-0.70428,0.0013452,76.8,0.23413,-0.2362,0.0020711,-5.6088e-11,0.78889,6.1907e-12,613.05,0,0,0,0.0011396,0,0.00037366,0.0073869
-2.91e-12,-0.032399,0.04487,-86.324,7.5483e-09,1.3665e-09,3.4509e-08,93.763,-602.3,-5.5532e-09,9.8907,-7.4394,0.0013361,76.81,0.23063,-0.25093,0.020298,-5.6153e-11,0.79116,5.5815e-12,620.46,0,0,0,0.0011424,0,0.00037507,0.0073894
-2.8421e-12,-0.032109,0.043246,-84.981,7.2806e-09,1.4397e-09,3.5487e-08,106.63,-622.31,-4.7165e-09,16.67,-21.654,0.0013167,76.832,0.22376,-0.28096,0.057206,-5.628e-11,0.79712,4.3095e-12,637.19,0,0,0,0.0011476,0,0.00037754,0.007394
-2.838e-12,-0.032087,0.043145,-84.889,7.2649e-09,1.4438e-09,3.5541e-08,107.43,-623.38,-4.6659e-09,17.156,-22.54,0.0013156,76.833,0.22332,-0.28287,0.059541,-5.6286e-11,0.79724,4.2325e-12,638.12,0,0,0,0.001148,0,0.0003777,0.0073942
-2.8279e-12,-0.032036,0.042903,-84.678,7.2257e-09,1.4545e-09,3.5681e-08,109.5,-626.18,-4.5324e-09,18.29,-24.823,0.0013127,76.837,0.2223,-0.2876,0.065296,-5.63e-11,0.79773,4.0373e-12,640.63,0,0,0,0.0011487,0,0.00037805,0.0073949
-2.7729e-12,-0.031705,0.04153,-83.359,7.012e-09,1.5227e-09,3.6637e-08,120.6,-644.71,-3.7742e-09,26.094,-37.236,0.0012958,76.856,0.21599,-0.31297,0.096981,-5.6515e-11,0.80116,2.9051e-12,656.02,0,0,0,0.0011533,0,0.00038007,0.0073991
-2.746e-12,-0.031558,0.040891,-82.786,6.9078e-09,1.5582e-09,3.7111e-08,126.22,-654.28,-3.3902e-09,29.512,-43.432,0.0012874,76.866,0.21312,-0.32522,0.1121,-5.6607e-11,0.80362,2.354e-12,664.15,0,0,0,0.0011553,0,0.0003809,0.0074008
-2.7067e-12,-0.031291,0.039917,-81.809,6.758e-09,1.6061e-09,3.7763e-08,134.69,-666.66,-2.818e-09,35.594,-52.873,0.0012756,76.881,0.20865,-0.34416,0.13551,-5.6734e-11,0.80434,1.5309e-12,675.17,0,0,0,0.0011584,0,0.00038222,0.0074037
-2.6478e-12,-0.030929,0.038531,-80.509,6.5334e-09,1.6812e-09,3.8742e-08,147.96,-685.98,-1.9251e-09,43.774,-67.45,0.0012577,76.904,0.20248,-0.37243,0.16995,-5.6889e-11,0.80707,3.0211e-13,692.82,0,0,0,0.0011625,0,0.00038387,0.0074074
-2.6375e-12,-0.030851,0.038277,-80.242,6.4946e-09,1.6933e-09,3.8904e-08,150.32,-688.95,-1.7665e-09,45.522,-70.068,0.0012547,76.908,0.20132,-0.37759,0.17628,-5.6914e-11,0.80675,8.1824e-14,695.69,0,0,0,0.0011633,0,0.00038419,0.0074081
-2.6121e-12,-0.030678,0.037686,-79.661,6.3991e-09,1.7238e-09,3.9294e-08,156.4,-696.41,-1.3603e-09,49.395,-76.733,0.0012473,76.919,0.19871,-0.3903,0.19159,-5.6959e-11,0.80662,-4.5563e-13,703.13,0,0,0,0.0011649,0,0.00038483,0.0074096
