"U:0","U:1","U:2","grad(U):0","grad(U):1","grad(U):2","grad(U):3","grad(U):4","grad(U):5","grad(U):6","grad(U):7","grad(U):8","nu","p","shearStress:0","shearStress:1","shearStress:2","shearStress:3","shearStress:4","shearStress:5","strainRate","wallShearStress:0","wallShearStress:1","wallShearStress:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-2.0895e-11,1.2971e-07,0.16224,0.014827,8.7328e-07,-5.1634e-12,-3.2011e-07,-0.032086,-7.9729,1.3642e-09,0.00017874,0.015427,0.011257,41.25,-0.0004219,0.00071419,-0.00029229,-6.6183e-09,0.073841,-1.4487e-11,7.973,0,0,0,1,1.9182e-05,0,1.9182e-05,0.01024
-2.0974e-11,1.2282e-07,0.16224,0.014595,8.7132e-07,-5.1509e-12,-3.1986e-07,-0.032144,-8.0422,1.3677e-09,0.00017789,0.015506,0.01122,41.25,-0.00041808,0.00071166,-0.00029358,-6.5838e-09,0.074118,-1.4466e-11,8.0423,0,0,0,1,1.9581e-05,0,1.9581e-05,0.01024
-2.1052e-11,1.1592e-07,0.16223,0.014362,8.6936e-07,-5.1384e-12,-3.1961e-07,-0.032202,-8.1116,1.3712e-09,0.00017703,0.015586,0.011183,41.25,-0.00041427,0.00070914,-0.00029487,-6.5493e-09,0.074396,-1.4445e-11,8.1117,0,0,0,1,1.9981e-05,0,1.9981e-05,0.01024
-2.113e-11,1.0902e-07,0.16223,0.01413,8.674e-07,-5.1259e-12,-3.1936e-07,-0.03226,-8.1809,1.3747e-09,0.00017617,0.015665,0.011146,41.25,-0.00041045,0.00070661,-0.00029616,-6.5148e-09,0.074673,-1.4424e-11,8.181,0,0,0,1,2.0381e-05,0,2.0381e-05,0.01024
-2.1208e-11,1.0213e-07,0.16223,0.013897,8.6544e-07,-5.1134e-12,-3.191e-07,-0.032318,-8.2502,1.3782e-09,0.00017531,0.015745,0.011109,41.25,-0.00040663,0.00070408,-0.00029745,-6.4803e-09,0.074951,-1.4402e-11,8.2503,0,0,0,1,2.078e-05,0,2.078e-05,0.01024
-2.1287e-11,9.5229e-08,0.16223,0.013665,8.6349e-07,-5.1009e-12,-3.1885e-07,-0.032376,-8.3196,1.3817e-09,0.00017445,0.015825,0.011072,41.25,-0.00040281,0.00070155,-0.00029874,-6.4458e-09,0.075229,-1.4381e-11,8.3197,0,0,0,1,2.118e-05,0,2.118e-05,0.01024
-2.1365e-11,8.8332e-08,0.16223,0.013432,8.6153e-07,-5.0884e-12,-3.186e-07,-0.032434,-8.3889,1.3853e-09,0.00017359,0.015904,0.011035,41.25,-0.00039899,0.00069902,-0.00030003,-6.4113e-09,0.075506,-1.436e-11,8.389,0,0,0,1,2.1579e-05,0,2.1579e-05,0.01024
-2.1443e-11,8.1435e-08,0.16223,0.0132,8.5957e-07,-5.0759e-12,-3.1835e-07,-0.032492,-8.4582,1.3888e-09,0.00017273,0.015984,0.010998,41.25,-0.00039518,0.0006965,-0.00030132,-6.3768e-09,0.075784,-1.4339e-11,8.4584,0,0,0,1,2.1979e-05,0,2.1979e-05,0.01024
-2.1521e-11,7.4539e-08,0.16223,0.012967,8.5761e-07,-5.0634e-12,-3.1809e-07,-0.03255,-8.5276,1.3923e-09,0.00017188,0.016064,0.010961,41.25,-0.00039136,0.00069397,-0.00030261,-6.3422e-09,0.076061,-1.4318e-11,8.5277,0,0,0,1,2.2379e-05,0,2.2379e-05,0.01024
-2.16e-11,6.7642e-08,0.16223,0.012735,8.5565e-07,-5.0509e-12,-3.1784e-07,-0.032608,-8.5969,1.3958e-09,0.00017102,0.016143,0.010924,41.25,-0.00038754,0.00069144,-0.0003039,-6.3077e-09,0.076339,-1.4296e-11,8.597,0,0,0,1,2.2778e-05,0,2.2778e-05,0.01024
