# Residuals         
# Time              	Ux                  	Uy                  	Uz                  	p                   
311                 	1.824130502642e-04	1.445810003431e-04	4.500730434322e-05	5.669433944685e-05
312                 	1.818784059477e-04	1.436786961473e-04	4.476032738584e-05	5.632569385171e-05
313                 	1.813473027118e-04	1.427846338968e-04	4.451511811681e-05	5.595194611862e-05
314                 	1.808198502477e-04	1.418982864996e-04	4.427164740274e-05	5.556728031770e-05
315                 	1.802960899596e-04	1.410192847285e-04	4.402992348829e-05	5.511054912028e-05
316                 	1.797761557409e-04	1.401475429059e-04	4.378988009327e-05	5.469855844307e-05
317                 	1.792605165921e-04	1.392833541755e-04	4.355150053999e-05	5.433024078174e-05
318                 	1.787491284769e-04	1.384260652298e-04	4.331476855877e-05	5.396963242884e-05
319                 	1.782423693119e-04	1.375760317508e-04	4.307967925847e-05	5.360672029449e-05
320                 	1.777409944393e-04	1.367331229503e-04	4.284621850619e-05	5.329562131794e-05
321                 	1.772459472726e-04	1.358975926770e-04	4.261433818406e-05	5.300393226895e-05
322                 	1.767608752515e-04	1.350691702402e-04	4.238403543802e-05	5.269837794417e-05
323                 	1.762798073110e-04	1.342475168591e-04	4.215532881854e-05	5.238711410855e-05
324                 	1.758001905327e-04	1.334323480773e-04	4.192822224082e-05	5.207193485132e-05
325                 	1.753219834459e-04	1.326235164663e-04	4.170265255033e-05	5.175571592716e-05
326                 	1.748453196232e-04	1.318211913398e-04	4.147861337527e-05	5.143188317109e-05
327                 	1.743701805861e-04	1.310253087503e-04	4.125609711476e-05	5.110515500992e-05
328                 	1.738967694134e-04	1.302357261149e-04	4.103511587080e-05	5.077649805098e-05
329                 	1.734250389984e-04	1.294524316615e-04	4.081564708993e-05	5.045091221139e-05
330                 	1.729550554698e-04	1.286753131132e-04	4.059767039953e-05	5.012415154889e-05
331                 	1.724867171440e-04	1.279042498358e-04	4.038117136407e-05	4.980368524050e-05
332                 	1.720201026788e-04	1.271392121629e-04	4.016612826651e-05	4.943231315371e-05
333                 	1.715552928076e-04	1.263803230822e-04	3.995250971487e-05	4.907581957299e-05
334                 	1.710922321631e-04	1.256276682256e-04	3.974030438637e-05	4.876145227325e-05
335                 	1.706309513607e-04	1.248809636365e-04	3.952951948284e-05	4.845001478011e-05
336                 	1.701715531351e-04	1.241401600283e-04	3.932016810298e-05	4.815579186763e-05
337                 	1.697139750538e-04	1.234049294465e-04	3.911221944255e-05	4.786964279114e-05
338                 	1.692583149940e-04	1.226753580588e-04	3.890566395662e-05	4.757693914537e-05
339                 	1.688046116618e-04	1.219513854798e-04	3.870048192642e-05	4.728542765394e-05
